animal,symptoms,disease
Goat,fever|cracked hooves|mouth blisters|salivation|reduced appetite,Foot and Mouth Disease
Goat,fever|diarrhea|weight loss|weakness|loss of appetite,Caprine Enterotoxemia
Goat,sudden death|convulsions|bloating|diarrhea|fever,Caprine Enterotoxemia
Goat,abdominal pain|diarrhea|fever|weakness|sudden death,Caprine Enterotoxemia
Goat,bloating|convulsions|diarrhea|loss of appetite|sudden death,Caprine Enterotoxemia
Goat,sudden death|bloody diarrhea|convulsions|abdominal pain|fever,Caprine Enterotoxemia
Goat,severe diarrhea|abdominal pain|weakness|fever|sudden death,Caprine Enterotoxemia
Goat,fever|nasal discharge|coughing|difficulty breathing|lethargy,Caprine Respiratory Disease
Goat,labored breathing|coughing|fever|nasal discharge|weight loss,Caprine Respiratory Disease
Goat,runny nose|coughing|high fever|lethargy|loss of appetite,Caprine Respiratory Disease
Goat,wheezing|fever|nasal discharge|coughing|weakness,Caprine Respiratory Disease
Goat,rapid breathing|fever|coughing|nasal discharge|reduced appetite,Caprine Respiratory Disease
Goat,chest rattling|coughing|fever|nasal discharge|depression,Caprine Respiratory Disease
Goat,fever|skin scabs|hair loss|itching|crusty lesions,Goat Pox
Goat,skin blisters|fever|nasal discharge|swollen lymph nodes|weight loss,Goat Pox
Goat,pox lesions on skin|fever|eye discharge|nasal discharge|lethargy,Goat Pox
Goat,crusty skin lesions|fever|loss of appetite|nasal discharge|weakness,Goat Pox
Goat,raised skin bumps|fever|nasal discharge|eye discharge|lethargy,Goat Pox
Goat,skin nodules|fever|crusty eyes|nasal discharge|weight loss,Goat Pox
Goat,bloating|abdominal discomfort|loss of appetite|diarrhea|weakness,Bloat
Goat,swollen abdomen|discomfort|loss of appetite|difficulty breathing|weakness,Bloat
Goat,distended rumen|pain|loss of appetite|lethargy|difficulty breathing,Bloat
Goat,abdominal swelling|restlessness|loss of appetite|weakness|labored breathing,Bloat
Goat,weight loss|diarrhea|weakness|pale gums|bottle jaw,Haemonchosis
Goat,pale mucous membranes|bottle jaw|weakness|diarrhea|weight loss,Haemonchosis
Goat,anemia|weight loss|weakness|diarrhea|pale gums,Haemonchosis
Goat,bottle jaw|weakness|pale eyelids|diarrhea|weight loss,Haemonchosis
Goat,pale conjunctiva|weakness|weight loss|diarrhea|rough coat,Haemonchosis
Goat,anemia|bottle jaw|lethargy|weight loss|diarrhea,Haemonchosis
Pig,high fever|red skin patches|loss of appetite|vomiting|weakness,African Swine Fever
Pig,sudden death|high fever|skin hemorrhage|bloody diarrhea|weakness,African Swine Fever
Pig,fever|skin redness|loss of appetite|weakness|difficulty breathing,African Swine Fever
Pig,hemorrhagic skin patches|high fever|vomiting|diarrhea|sudden death,African Swine Fever
Pig,fever|skin discoloration|rapid death|loss of appetite|weakness,African Swine Fever
Pig,high fever|bleeding from skin|sudden death|diarrhea|loss of appetite,African Swine Fever
Pig,fever|skin blotches|vomiting|weakness|sudden death,African Swine Fever
Pig,skin hemorrhage|high fever|bloody stool|loss of appetite|rapid death,African Swine Fever
Pig,fever|dark skin patches|weakness|diarrhea|loss of appetite,African Swine Fever
Pig,sudden death|high fever|skin redness|bloody diarrhea|weakness,African Swine Fever
Pig,fever|blisters on snout|lameness|blisters on feet|salivation,Foot and Mouth Disease
Pig,mouth blisters|hoof lesions|fever|reluctance to walk|loss of appetite,Foot and Mouth Disease
Pig,blisters on feet|fever|salivation|lameness|nasal discharge,Foot and Mouth Disease
Pig,snout blisters|fever|painful walking|salivation|loss of appetite,Foot and Mouth Disease
Pig,hoof lesions|mouth blisters|fever|drooling|weight loss,Foot and Mouth Disease
Pig,fever|cracked hooves|snout blisters|salivation|reduced appetite,Foot and Mouth Disease
Pig,coughing|sneezing|fever|nasal discharge|difficulty breathing,Swine Influenza
Pig,high fever|coughing|nasal discharge|lethargy|loss of appetite,Swine Influenza
Pig,labored breathing|coughing|fever|nasal discharge|depression,Swine Influenza
Pig,sneezing|coughing|fever|weight loss|nasal discharge,Swine Influenza
Pig,rapid breathing|fever|coughing|nasal discharge|weakness,Swine Influenza
Pig,wheezing|fever|sneezing|nasal discharge|loss of appetite,Swine Influenza
Pig,fever|runny nose|coughing|lethargy|reduced feed intake,Swine Influenza
Pig,diarrhea|vomiting|loss of appetite|weakness|dehydration,Swine Dysentery
Pig,bloody diarrhea|fever|abdominal pain|loss of appetite|weakness,Swine Dysentery
Pig,mucous diarrhea|fever|weight loss|dehydration|lethargy,Swine Dysentery
Pig,diarrhea|abdominal pain|fever|loss of appetite|weakness,Swine Dysentery
Pig,watery diarrhea|vomiting|dehydration|weakness|loss of appetite,Swine Dysentery
Pig,bloody stool|abdominal pain|fever|lethargy|weight loss,Swine Dysentery
Pig,fever|skin redness|lethargy|loss of appetite|joint swelling,Swine Erysipelas
Pig,diamond shaped skin lesions|fever|joint pain|loss of appetite|lethargy,Swine Erysipelas
Pig,skin lesions|high fever|lameness|reduced appetite|depression,Swine Erysipelas
Pig,raised skin patches|fever|joint swelling|loss of appetite|weakness,Swine Erysipelas
Pig,fever|skin discoloration|lameness|lethargy|loss of appetite,Swine Erysipelas
Chicken,sudden death|dark combs|breathing difficulty|swollen head|lethargy,Newcastle Disease
Chicken,gasping|twisted neck|diarrhea|breathing difficulty|sudden death,Newcastle Disease
Chicken,greenish diarrhea|breathing difficulty|swollen head|drop in egg production|lethargy,Newcastle Disease
Chicken,trembling|twisted neck|paralysis|breathing difficulty|greenish diarrhea,Newcastle Disease
Chicken,sudden death|gasping|swollen head|dark purple combs|loss of appetite,Newcastle Disease
Chicken,neck twisting|paralysis|diarrhea|breathing difficulty|sudden death,Newcastle Disease
Chicken,drop in egg production|breathing difficulty|greenish diarrhea|swollen head|lethargy,Newcastle Disease
Chicken,gasping|dark combs|twisted neck|diarrhea|weakness,Newcastle Disease
Chicken,sudden death|respiratory distress|greenish diarrhea|swollen head|trembling,Newcastle Disease
Chicken,breathing difficulty|twisted neck|drop in egg production|diarrhea|lethargy,Newcastle Disease
Chicken,high mortality|swollen head|breathing difficulty|dark combs|diarrhea,Avian Influenza
Chicken,sudden death|nasal discharge|swollen face|difficulty breathing|diarrhea,Avian Influenza
Chicken,swollen combs and wattles|nasal discharge|diarrhea|breathing difficulty|sudden death,Avian Influenza
Chicken,dark purple head|difficulty breathing|nasal discharge|diarrhea|drop in egg production,Avian Influenza
Chicken,fever|swollen face|nasal discharge|breathing difficulty|high mortality,Avian Influenza
Chicken,sudden death|swollen head|nasal discharge|diarrhea|breathing difficulty,Avian Influenza
Chicken,high mortality|nasal discharge|swollen wattles|diarrhea|lethargy,Avian Influenza
Chicken,swollen face|dark combs|nasal discharge|difficulty breathing|sudden death,Avian Influenza
Chicken,diarrhea|nasal discharge|swollen head|breathing difficulty|weakness,Avian Influenza
Chicken,sudden death|swollen combs|nasal discharge|difficulty breathing|drop in egg production,Avian Influenza
Chicken,swollen face|nasal discharge|sneezing|watery eyes|coughing,Infectious Bronchitis
Chicken,coughing|sneezing|nasal discharge|drop in egg production|watery eyes,Infectious Bronchitis
Chicken,rattling breathing|sneezing|nasal discharge|reduced egg production|lethargy,Infectious Bronchitis
Chicken,watery eyes|sneezing|coughing|nasal discharge|drop in egg production,Infectious Bronchitis
Chicken,sneezing|rattling sound|nasal discharge|watery eyes|reduced egg production,Infectious Bronchitis
Chicken,coughing|watery eyes|sneezing|drop in egg production|lethargy,Infectious Bronchitis
Chicken,nasal discharge|sneezing|coughing|reduced egg production|weakness,Infectious Bronchitis
Chicken,white diarrhea|weakness|loss of appetite|ruffled feathers|lethargy,Salmonellosis
Chicken,diarrhea|weakness|loss of appetite|ruffled feathers|dehydration,Salmonellosis
Chicken,white pasty droppings|weakness|lethargy|loss of appetite|huddling,Salmonellosis
Chicken,weakness|diarrhea|loss of appetite|ruffled feathers|sudden death in chicks,Salmonellosis
Chicken,watery diarrhea|weakness|ruffled feathers|loss of appetite|lethargy,Salmonellosis
Chicken,pasty vent|weakness|loss of appetite|huddling|lethargy,Salmonellosis
Chicken,bloody diarrhea|lethargy|ruffled feathers|loss of appetite|pale combs,Coccidiosis
Chicken,bloody droppings|weakness|loss of appetite|ruffled feathers|dehydration,Coccidiosis
Chicken,diarrhea with blood|lethargy|ruffled feathers|loss of appetite|huddling,Coccidiosis
Chicken,pale combs|bloody diarrhea|lethargy|reduced appetite|ruffled feathers,Coccidiosis
Chicken,blood in droppings|weakness|ruffled feathers|loss of appetite|lethargy,Coccidiosis
Chicken,bloody stool|pale combs|weakness|loss of appetite|huddling,Coccidiosis
